code,name
"48KA","KEMERBURGAZ - ARNAVUTKÖY"
"48L","GÖKTÜRK - 4.LEVENT METRO"
"48M","AKPINAR KÖYÜ-ARNAVUTKÖY"
"48N","EMNİYETTEPE - TAKSİM"
"48P","KEMERBURGAZ - AKPINAR KÖYÜ"
"48S","SADABAT EVLERİ - ŞİŞLİ"
"48T","HAMİDİYE MAHALLESİ - TAKSİM"
"48U","KENT ORMAN - KEMERBURGAZ"
"500L","CEVİZLİBAĞ - 4.LEVENT METRO"
"500T","TUZLA ŞİFA MAHALLESİ - 4. LEVENT METRO"
"50A","ALİBEYKÖY - EDİRNEKAPI METROBÜS"
"50AT","CEBECİ - GAZİ - ALİBEYKÖY"
"50B","ALİBEYKÖY - BAKIRKÖY"
"50C","ALİBEYKÖY - ŞİŞLİ"
"50D","AYAZAĞA - ALİBEYKÖY"
"50E","ALİBEYKÖY - EMİNÖNÜ"
"50F","ALİBEYKÖY - 4.LEVENT METRO"
"50G","GÖKTÜRK - TAKSİM"
"50H","ALİBEYKÖY - HACIOSMAN METRO"
"50K","ALİBEYKÖY - KAZLIÇEŞME"
"50L","ALİBEYKÖY - BEŞİKTAŞ"
"50M","ALİBEYKÖY-MECİDİYEKÖY"
"50N","ALİBEYKÖY - TAKSİM"
"50P","ÇIRÇIR METRO - EMİNÖNÜ"
"50R","ALİBEYKÖY - OTOGAR"
"50S","ALİBEYKÖY - ŞİŞLİ"
"50T","ALİBEYKÖY - TAKSİM"
"50V","ALİBEYKÖY - VEZNECİLER"
"50Y","ALİBEYKÖY - YENİKAPI"
"50Z","ALİBEYKÖY - ZİNCİRLİKUYU"
"522ST","SULTANBEYLİ - MECİDİYEKÖY"
"54Ç","ÇIKSALIN - TAKSİM"
"54E","OKMEYDANI - EMİNÖNÜ"
"54HŞ","HASKÖY - ŞİŞLİ"
"54HT","HASKÖY - TAKSİM"
"54K","HASKÖY - KULAKSIZ - TAKSİM"
"54KT","KAPTANPAŞA - DOLAPDERE / TAKSİM"
"54ÖR","ÖRNEKTEPE - TAKSİM"
"54P","PİYALEPAŞA MAHALLESİ - TAKSİM"
"54T","SADABAT EVLERİ / TALATPAŞA - TAKSİM"
